Date,RealizationDate,Portfolio,RealizedNextReturn
1985-10-01,1985-11-01,SMALL HiBM,4.5515
1985-10-01,1985-11-01,ME2 BM1,9.3635
1985-10-01,1985-11-01,ME2 BM2,7.2187
1985-10-01,1985-11-01,ME2 BM3,7.8192
1985-10-01,1985-11-01,ME2 BM4,6.912
1985-10-01,1985-11-01,ME2 BM5,6.7223
1985-10-01,1985-11-01,ME3 BM1,7.6452
1985-10-01,1985-11-01,ME3 BM2,7.5463
1985-10-01,1985-11-01,ME3 BM3,5.8051
1985-10-01,1985-11-01,ME3 BM4,6.3642
1985-10-01,1985-11-01,ME3 BM5,6.3681
1985-10-01,1985-11-01,ME4 BM1,8.7119
1985-10-01,1985-11-01,ME4 BM2,6.6973
1985-10-01,1985-11-01,ME4 BM3,8.3655
1985-10-01,1985-11-01,ME4 BM4,5.5119
1985-10-01,1985-11-01,ME4 BM5,5.0513
1985-10-01,1985-11-01,BIG LoBM,10.019
1985-10-01,1985-11-01,ME5 BM2,7.9823
1985-10-01,1985-11-01,ME5 BM3,7.8667
1985-10-01,1985-11-01,ME5 BM4,3.9867
1985-10-01,1985-11-01,BIG HiBM,4.7189
1985-11-01,1985-12-01,SMALL LoBM,3.5877
1985-11-01,1985-12-01,ME1 BM2,5.2765
1985-11-01,1985-12-01,ME1 BM3,4.1272
1985-11-01,1985-12-01,ME1 BM4,3.9742
1985-11-01,1985-12-01,SMALL HiBM,3.3359
1985-11-01,1985-12-01,ME2 BM1,5.1416
1985-11-01,1985-12-01,ME2 BM2,4.2424
1985-11-01,1985-12-01,ME2 BM3,5.3512
1985-11-01,1985-12-01,ME2 BM4,3.7701
1985-11-01,1985-12-01,ME2 BM5,0.292
1985-11-01,1985-12-01,ME3 BM1,5.5851
1985-11-01,1985-12-01,ME3 BM2,4.4749
1985-11-01,1985-12-01,ME3 BM3,2.5265
1985-11-01,1985-12-01,ME3 BM4,2.681
1985-11-01,1985-12-01,ME3 BM5,5.296
1985-11-01,1985-12-01,ME4 BM1,3.7185
1985-11-01,1985-12-01,ME4 BM2,4.1775
1985-11-01,1985-12-01,ME4 BM3,2.8359
1985-11-01,1985-12-01,ME4 BM4,4.9828
1985-11-01,1985-12-01,ME4 BM5,5.5329
1985-11-01,1985-12-01,BIG LoBM,6.8206
1985-11-01,1985-12-01,ME5 BM2,3.7154
1985-11-01,1985-12-01,ME5 BM3,4.929
1985-11-01,1985-12-01,ME5 BM4,2.9889
1985-11-01,1985-12-01,BIG HiBM,4.421
1985-12-01,1986-01-01,SMALL LoBM,3.8107
1985-12-01,1986-01-01,ME1 BM2,2.0436
1985-12-01,1986-01-01,ME1 BM3,2.5692
1985-12-01,1986-01-01,ME1 BM4,2.167
1985-12-01,1986-01-01,SMALL HiBM,3.122
1985-12-01,1986-01-01,ME2 BM1,1.022
